FAMILY_A	FAMILY_B	ARI	AMI	BCUBES
Afro-Asiatic	Arawakan	0.1155	0.1668	0.1958
Afro-Asiatic	Atlantic-Congo	0.2181	0.3032	0.2741
Afro-Asiatic	Chocoan	0.1425	0.1916	0.2049
Afro-Asiatic	Hmong-Mien	0.1907	0.2709	0.2923
Afro-Asiatic	Huitotoan	0.0704	0.1040	0.1408
Afro-Asiatic	Indo-European	0.3506	0.4346	0.3637
Afro-Asiatic	Sino-Tibetan	0.2305	0.3116	0.3153
Afro-Asiatic	Tai-Kadai	0.0501	0.0736	0.1344
Afro-Asiatic	Tucanoan	0.1803	0.2531	0.1827
Afro-Asiatic	Tupian	0.0838	0.1239	0.1843
Afro-Asiatic	Uralic	0.2008	0.2657	0.2841
Arawakan	Atlantic-Congo	0.3660	0.4032	0.2445
Arawakan	Chocoan	0.3231	0.3624	0.1949
Arawakan	Hmong-Mien	0.1161	0.1310	0.2170
Arawakan	Huitotoan	0.3325	0.3845	0.1441
Arawakan	Indo-European	0.1519	0.1983	0.2589
Arawakan	Sino-Tibetan	0.1269	0.1722	0.2510
Arawakan	Tai-Kadai	0.1045	0.1118	0.1124
Arawakan	Tucanoan	0.4605	0.5235	0.1835
Arawakan	Tupian	0.1197	0.1467	0.1551
Arawakan	Uralic	0.2036	0.2335	0.2330
Atlantic-Congo	Chocoan	0.3312	0.3298	0.2108
Atlantic-Congo	Hmong-Mien	0.2082	0.2643	0.2570
Atlantic-Congo	Huitotoan	0.0834	0.1103	0.1222
Atlantic-Congo	Indo-European	0.2237	0.2857	0.2872
Atlantic-Congo	Sino-Tibetan	0.2546	0.3194	0.2999
Atlantic-Congo	Tai-Kadai	0.0942	0.1216	0.1280
Atlantic-Congo	Tucanoan	0.4498	0.4483	0.2054
Atlantic-Congo	Tupian	0.1763	0.2367	0.1861
Atlantic-Congo	Uralic	0.2556	0.2993	0.2659
Chocoan	Hmong-Mien	0.1758	0.2187	0.2386
Chocoan	Huitotoan	0.1701	0.1756	0.1202
Chocoan	Indo-European	0.3397	0.3684	0.3031
Chocoan	Sino-Tibetan	0.2277	0.2737	0.2858
Chocoan	Tai-Kadai	0.1324	0.1669	0.1271
Chocoan	Tucanoan	0.5588	0.5139	0.1929
Chocoan	Tupian	0.1799	0.2401	0.1791
Chocoan	Uralic	0.3181	0.3661	0.2658
Hmong-Mien	Huitotoan	0.0610	0.0713	0.1078
Hmong-Mien	Indo-European	0.2166	0.2804	0.2825
Hmong-Mien	Sino-Tibetan	0.1752	0.2608	0.2882
Hmong-Mien	Tai-Kadai	0.2214	0.2453	0.1398
Hmong-Mien	Tucanoan	0.1254	0.1631	0.1359
Hmong-Mien	Tupian	0.3889	0.3558	0.1929
Hmong-Mien	Uralic	0.2961	0.3118	0.2602
Huitotoan	Indo-European	0.0934	0.1252	0.2476
Huitotoan	Sino-Tibetan	0.0860	0.1123	0.2367
Huitotoan	Tai-Kadai	0.1169	0.1325	0.1115
Huitotoan	Tucanoan	0.3232	0.3998	0.1584
Huitotoan	Tupian	0.0631	0.0809	0.1499
Huitotoan	Uralic	0.1066	0.1262	0.2179
Indo-European	Sino-Tibetan	0.2524	0.3384	0.3195
Indo-European	Tai-Kadai	0.1369	0.1803	0.1578
Indo-European	Tucanoan	0.2793	0.3457	0.1908
Indo-European	Tupian	0.1640	0.2220	0.2051
Indo-European	Uralic	0.3823	0.4326	0.3249
Sino-Tibetan	Tai-Kadai	0.0919	0.1422	0.1585
Sino-Tibetan	Tucanoan	0.2420	0.3032	0.2013
Sino-Tibetan	Tupian	0.0969	0.1498	0.1902
Sino-Tibetan	Uralic	0.1852	0.2562	0.2830
Tai-Kadai	Tucanoan	0.0615	0.0827	0.1166
Tai-Kadai	Tupian	0.1530	0.1878	0.1627
Tai-Kadai	Uralic	0.1866	0.2113	0.2298
Tucanoan	Tupian	0.1283	0.1791	0.1670
Tucanoan	Uralic	0.2672	0.3158	0.2547
Tupian	Uralic	0.3026	0.3386	0.2589
